"words","storyline","acting","visual"
"writer",0.00114702815432742,0.000760456273764259,0.000102030405060708
"changed",0.00109489051094891,0.000175489909330214,0.000204060810121416
"live",0.00109489051094891,0.000701959637320854,0.000408121620242832
"money",0.00109489051094891,0.000467973091547236,0.00025507601265177
"actions",0.00104275286757039,0.000760456273764259,0.000102030405060708
"construction",0.00104275286757039,0.000175489909330214,0.000204060810121416
"final",0.00104275286757039,0.000584966364434045,0.00163248648097133
"unique",0.00104275286757039,0.000175489909330214,0.000306091215182124
"death",0.000990615224191866,0.000233986545773618,0.000102030405060708
"notice",0.000990615224191866,0.000233986545773618,0.000153045607591062
"power",0.000990615224191866,0.000409476455103832,0.000306091215182124
"step",0.000990615224191866,0.000994442819537876,0.000765228037955311
"writing",0.000990615224191866,0.000350979818660427,0.000153045607591062
"act",0.000938477580813347,0.000701959637320854,0.000204060810121416
"creating",0.000938477580813347,0.000350979818660427,0.000816243240485665
"decision",0.000938477580813347,0.000116993272886809,0.000306091215182124
"development",0.000938477580813347,0.000292483182217023,0.00051015202530354
"natural",0.000938477580813347,0.000467973091547236,0.00025507601265177
"powerful",0.000938477580813347,0.000292483182217023,0.000459136822773186
"process",0.000938477580813347,0.00228136882129278,0.00239771451892664
"set",0.000938477580813347,0.00181339572974554,0.0031119273543516
"american",0.000886339937434828,0.000526469727990641,0.000102030405060708
"entire",0.000886339937434828,0.00105293945598128,0.000612182430364249
"express",0.000886339937434828,0.000116993272886809,0.000102030405060708
"force",0.000886339937434828,0.000233986545773618,0.000102030405060708
"idea",0.000886339937434828,0.000701959637320854,0.000306091215182124
"past",0.000886339937434828,0.000701959637320854,0.00025507601265177
"specific",0.000886339937434828,0.000526469727990641,0.0012243648607285
"start",0.000886339937434828,0.0013454226381983,0.00051015202530354
"write",0.000886339937434828,0.000175489909330214,0.000153045607591062
"complex",0.000834202294056309,0.000175489909330214,0.00102030405060708
"ed",0.000834202294056309,0.000467973091547236,0.000102030405060708
"fight",0.000834202294056309,0.000760456273764259,0.000102030405060708
"night",0.000834202294056309,0.000233986545773618,0.000153045607591062
"organic",0.000834202294056309,0.000350979818660427,0.000102030405060708
"reason",0.000834202294056309,0.00064346300087745,0.00025507601265177
"series",0.000834202294056309,0.000292483182217023,0.00025507601265177
"simple",0.000834202294056309,0.000467973091547236,0.000714212835424957
"day",0.000782064650677789,0.000584966364434045,0.000357106417712478
"forces",0.000782064650677789,0.000116993272886809,0.000204060810121416
"home",0.000782064650677789,0.00064346300087745,0.000102030405060708
"real",0.000782064650677789,0.00233986545773618,0.00132639526578921
"space",0.000782064650677789,0.00210587891196256,0.00107131925313743
"system",0.000782064650677789,0.000584966364434045,0.00249974492398735
"basic",0.00072992700729927,0.000818952910207663,0.000663197632894603
"film",0.00072992700729927,0.00111143609242469,0.00535659626568717
"play",0.00072992700729927,0.00333430827727406,0.000306091215182124
"central",0.000677789363920751,0.000116993272886809,0.000102030405060708
"front",0.000677789363920751,0.000701959637320854,0.000612182430364249
"information",0.000677789363920751,0.000350979818660427,0.00153045607591062
"major",0.000677789363920751,0.000292483182217023,0.000357106417712478
"means",0.000677789363920751,0.000526469727990641,0.000561167227833895
"society",0.000677789363920751,0.000175489909330214,0.000306091215182124
"apparent",0.000625651720542232,0.000175489909330214,0.000153045607591062
"audiences",0.000625651720542232,0.000116993272886809,0.000102030405060708
"begins",0.000625651720542232,0.000116993272886809,0.000357106417712478
"black",0.000625651720542232,0.000292483182217023,0.000714212835424957
"choice",0.000625651720542232,0.000233986545773618,0.000153045607591062
"event",0.000625651720542232,0.00064346300087745,0.00025507601265177
"fundamental",0.000625651720542232,0.000116993272886809,0.000102030405060708
